Codigo,Nome,Sigla
8309,Mestrado Integrado em Engenharia Electrónica e Telecomunicações,ET
8321,Licenciatura em Engenharia Eletrotécnica e de Computadores,LEEC
8316,Licenciatura em Engenharia de Computadores e Informática,LECI-CT
8295,Licenciatura em Engenharia Informática,LEI
8327,Licenciatura em Engenharia Aeroespacial,LEA
9295,Mestrado em Engenharia Eletrónica e Telecomunicações,MEET
9291,Mestrado em Engenharia de Computadores e Telemática,MECT
9263,Mestrado em Engenharia Informática,MEI
9163,Mestrado em Engenharia de Automação Industrial,MEAI
9283,Mestrado em Robótica e Sistemas Inteligentes,MRSI
9281,Mestrado em Cibersegurança,Ciber
9294,Mestrado em Engenharia Computacional,Computacional
