icursocod,sigla_grau,idisciplinaid,nvcepocaexame
"[8309,9295,8321]",MI,41502,2º SEMESTRE
"[8295,8316,8321,8240]",L1,40437,1º SEMESTRE
"[8309,9295,9283,8321]",M2,40803,2º SEMESTRE
"[8240,8309,8316,8321,8327]",L1,42284,1º SEMESTRE
"[9163,9283]",M2,43447,1º SEMESTRE
"[8295,8316,8240]",L1,47166,2º SEMESTRE
"[8295,9163,8240]",L1,43948,1º SEMESTRE
"[9263,8240]",MI,46456,1º SEMESTRE
"[8295,8316,8240]",L1,40379,1º SEMESTRE
8240,MI,40633,1º SEMESTRE
"[9291,8316,8240]",L1,41008,2º SEMESTRE
9263,M2,42140,1º SEMESTRE
"[9281,9263,8240]",M2,44139,1º SEMESTRE
"[9294,9283,9263]",M2,40751,1º SEMESTRE
"[9263,8240]",M2,41010,1º SEMESTRE
"[9163,9294,9283]",M2,47810,2º SEMESTRE
"[8240,8309,8316,8321,8327]",L1,42295,2º SEMESTRE
8327,L1,42255,1º SEMESTRE
"[8295,8316,8240]",L1,42532,2º SEMESTRE
"[8309,9295]",M2,47977,2º SEMESTRE
"[9163,9283]",M2,41726,1º SEMESTRE
"[8309,9281,9283,9263]",M2,42201,1º SEMESTRE
"[9281,9294,8240]",M2,47677,1º SEMESTRE
"[8295,8316,8240]",MI,40436,2º SEMESTRE
"[8309,9163,9283,9263]",M2,41878,2º SEMESTRE
"[8309,9294]",M2,41165,1º SEMESTRE
"[9291,9263,8316,8240]",M2,41006,1º SEMESTRE
9283,M2,41879,1º SEMESTRE
"[8327,8316,8321,8240]",L1,42302,2º SEMESTRE
8327,L1,42256,1º SEMESTRE
"[8240,8309,8295,8316,8321]",L1,40333,2º SEMESTRE
"[8321,8316,8327,8240]",L1,42297,2º SEMESTRE
"[9294,9283,9263,8240]",MI,43312,1º SEMESTRE
9263,M2,49711,1º SEMESTRE
"[8309,8321]",MI,41990,1º SEMESTRE
"[8240,9263,8316,8321,9291]",MI,40814,2º SEMESTRE
"[8316,8327,8321,8240]",L1,42300,2º SEMESTRE
9163,M2,42194,1º SEMESTRE
"[9283,9263]",M2,42596,1º SEMESTRE
"[9281,9263]",M2,43370,1º SEMESTRE
"[8309,9295]",MI,47705,1º SEMESTRE
"[9291,9263,8240]",M2,47053,1º SEMESTRE
"[9163,9294]",M2,41722,1º SEMESTRE
9294,M2,48104,1º SEMESTRE
8321,L1,47460,1º SEMESTRE
"[8309,8321]",MI,41484,1º SEMESTRE
"[8309,9295]",M2,42252,1º SEMESTRE
"[8240,8309,8316,8321,8327]",MI,42294,2º SEMESTRE
9281,M2,47814,1º SEMESTRE
"[9283,9263,8240]",M2,41231,1º SEMESTRE
"[8309,9163,9295,8321]",M2,41489,2º SEMESTRE
"[9294,8240]",MI,42139,1º SEMESTRE
"[9283,9263]",M2,44158,2º SEMESTRE
"[8316,8240]",L1,42509,1º SEMESTRE
8240,MI,45916,1º SEMESTRE
"[8316,9291,8240]",MI,42082,1º SEMESTRE
"[9281,9294,9263,8240]",MI,41781,1º SEMESTRE
"[9281,9283,9291,8240]",MI,49903,1º SEMESTRE
"[8309,8327,8321]",L1,41988,1º SEMESTRE
9294,M2,42606,1º SEMESTRE
8240,MI,84319,1º SEMESTRE
"[9281,9263]",M2,44153,2º SEMESTRE
"[9263,8240]",MI,47837,1º SEMESTRE
"[8240,9263,8316,9295,9291]",M2,42081,1º SEMESTRE
"[9283,9263]",M2,41877,2º SEMESTRE
9163,M2,82130,1º SEMESTRE
8295,L1,40534,2º SEMESTRE
9281,M2,42312,1º SEMESTRE
"[9283,9263]",M2,41876,1º SEMESTRE
"[8240,8309,8316,8321,8327]",MI,42291,1º SEMESTRE
8316,L1,81512,1º SEMESTRE
"[8309,9263]",MI,40692,1º SEMESTRE
"[8309,9295]",MI,41594,1º SEMESTRE
"[8295,8316,8240]",L1,40846,1º SEMESTRE
"[8309,8295,8327,8321]",L1,42791,1º SEMESTRE
"[8240,9281,8316,8321,9291]",MI,41782,2º SEMESTRE
"[9294,9263]",M2,41019,1º SEMESTRE
"[9294,8240,9291,8316,8321,9263]",M2,42078,1º SEMESTRE
"[8309,8321]",MI,49983,ANUAL
8309,MI,40148,1º SEMESTRE
"[8295,8316,8240]",L1,45423,2º SEMESTRE
8327,L1,41429,2º SEMESTRE
"[9291,8316,8240]",M2,47501,2º SEMESTRE
"[8309,8295]",MI,45733,1º SEMESTRE
"[8240,9263,8316,8321,9295,9291]",M2,42079,1º SEMESTRE
8327,L1,41969,2º SEMESTRE
9263,M2,41687,2º SEMESTRE
"[9281,9283]",M2,41780,1º SEMESTRE
"[9281,9263]",M2,41779,1º SEMESTRE
"[8309,8327,8321]",L1,41482,2º SEMESTRE
"[8309,8321]",MI,41987,1º SEMESTRE
"[8309,8321]",MI,41773,2º SEMESTRE
"[8309,8316,8321,8240]",L1,41952,2º SEMESTRE
"[8295,9263,8240]",L1,47975,1º SEMESTRE
"[8309,9295,9283,8321]",M2,41505,2º SEMESTRE
9263,M2,42280,1º SEMESTRE
"[8309,8321]",MI,41559,1º SEMESTRE
"[9291,8316,8240]",M2,41009,2º SEMESTRE
8309,MI,41400,1º SEMESTRE
"[9294,8321]",L1,40847,2º SEMESTRE
9163,M2,46504,1º SEMESTRE
"[8240,8309,9281,9163,9295,9263]",MI,49991,ANUAL
"[8295,8316,8240]",L1,40337,1º SEMESTRE
"[8309,8321]",MI,47134,2º SEMESTRE
"[8240,8309,8295,8316,8321]",L1,40332,1º SEMESTRE
"[9294,9283,8240]",MI,42195,1º SEMESTRE
"[8309,9163,9295,8321]",MI,41406,1º SEMESTRE
"[8309,9295,8321]",M2,42085,1º SEMESTRE
"[8309,8321,9295]",MI,41487,1º SEMESTRE
8295,L1,40432,1º SEMESTRE
"[8309,9295]",M2,41407,1º SEMESTRE
"[8240,8309,8316,8321,9291]",M2,42080,1º SEMESTRE
"[8316,8240]",MI,41947,2º SEMESTRE
"[8309,8321]",MI,41479,2º SEMESTRE
"[8309,9295,8321]",M2,42083,2º SEMESTRE
"[9163,9294,9283]",M2,42535,2º SEMESTRE
"[9291,9263,8240]",M2,40753,2º SEMESTRE
9281,M2,41790,2º SEMESTRE
8327,L1,42259,2º SEMESTRE
"[8295,8316,8240]",L1,40382,2º SEMESTRE
8295,L1,47280,1º SEMESTRE
"[8309,9295]",MI,41499,2º SEMESTRE
"[8309,8321,9295]",MI,41405,2º SEMESTRE
9163,M2,41686,2º SEMESTRE
"[8316,8327,8321]",L1,42301,2º SEMESTRE
"[8316,8240]",MI,41953,ANUAL
"[9281,9283,9263,8240]",MI,44156,1º SEMESTRE
8295,L1,43460,1º SEMESTRE
"[9263,8240]",MI,41919,1º SEMESTRE
"[8316,8240]",MI,41949,2º SEMESTRE
"[8240,8309,8295,8316,8321,8327]",L1,42729,2º SEMESTRE
"[8295,8316]",L1,40431,1º SEMESTRE
"[9281,9294,9263]",M2,41774,1º SEMESTRE
8309,MI,45658,1º SEMESTRE
"[8309,8327,8321]",L1,41519,2º SEMESTRE
"[8295,8316,8327]",L1,42502,2º SEMESTRE
"[9294,9263]",M2,49997,2º SEMESTRE
"[8309,9295]",MI,47978,1º SEMESTRE
"[9283,9263]",M2,40754,2º SEMESTRE
"[8240,8309,8295,8316,8321,8327]",L1,42709,1º SEMESTRE
9283,M2,43313,2º SEMESTRE
"[9163,9283,9263]",M2,45587,1º SEMESTRE
"[9281,9291,8240]",M2,43310,1º SEMESTRE
"[8321,8316,8327,8240]",L1,42292,1º SEMESTRE
"[9281,9263]",M2,41789,1º SEMESTRE
8321,L1,40845,2º SEMESTRE
9294,M2,40780,2º SEMESTRE
8240,MI,47527,1º SEMESTRE
"[8309,9163,9283,9263]",M2,45628,1º SEMESTRE
8295,L1,45426,2º SEMESTRE
"[8309,8240]",MI,41914,1º SEMESTRE
9263,M2,42282,2º SEMESTRE
"[8309,8321]",L1,47171,2º SEMESTRE
9294,M2,40776,1º SEMESTRE
"[8316,8240]",L1,41951,2º SEMESTRE
9294,M2,46445,1º SEMESTRE
8316,L1,47268,2º SEMESTRE
"[8309,9295,8321]",M2,41534,2º SEMESTRE
8295,L1,41302,1º SEMESTRE
"[8295,8316,8240]",L1,45424,2º SEMESTRE
"[8240,8309,8295,9291,8316,9263]",M2,41226,1º SEMESTRE
9281,M2,41786,2º SEMESTRE
"[8295,8316,8240]",L1,40383,2º SEMESTRE
"[8321,8316,8327,8240]",L1,42299,2º SEMESTRE
9263,M2,40752,2º SEMESTRE
9294,M2,47237,1º SEMESTRE
"[8316,8240]",L1,41945,2º SEMESTRE
"[8240,8309,8316,8321,8327]",MI,42283,1º SEMESTRE
"[9163,8240]",MI,42192,1º SEMESTRE
"[8295,8316,8240]",L1,41469,2º SEMESTRE
9294,M2,40781,2º SEMESTRE
"[8309,8321]",MI,41989,2º SEMESTRE
8295,L1,40385,1º SEMESTRE
"[8316,8240]",MI,47138,1º SEMESTRE
"[8309,8240]",MI,47553,1º SEMESTRE
"[9281,8295]",L1,41794,2º SEMESTRE
9294,M2,40779,2º SEMESTRE
9163,M2,40655,1º SEMESTRE
"[8240,8309,8295,8316,8321,8327]",L1,42728,1º SEMESTRE
"[8309,8295,8321]",L1,41941,2º SEMESTRE
9295,M2,46660,1º SEMESTRE
"[9263,8240]",MI,41492,1º SEMESTRE
"[8309,8295,8321]",L1,41495,2º SEMESTRE
"[8309,8321]",L1,41491,2º SEMESTRE
8295,L1,40384,1º SEMESTRE
"[8240,8309,8316,8321,8327]",MI,42290,1º SEMESTRE
"[9163,9283]",M2,47793,1º SEMESTRE
"[8295,8316,8240]",L1,42573,1º SEMESTRE
"[8321,8316,8327,8240]",L1,42298,2º SEMESTRE
8240,MI,84314,1º SEMESTRE
"[8309,9281,9283,9263]",MI,41796,1º SEMESTRE
9294,M2,47691,1º SEMESTRE
"[9291,8316,8321,8240]",M2,41007,2º SEMESTRE
8295,L1,40914,2º SEMESTRE
9263,M2,47934,1º SEMESTRE
"[8309,9263]",M2,42205,1º SEMESTRE
9281,M2,40529,1º SEMESTRE
8295,L1,40433,1º SEMESTRE
"[8309,8316,8321,8240]",MI,41948,1º SEMESTRE
"[9263,8240]",MI,46441,1º SEMESTRE
"[8309,8321]",L1,41567,2º SEMESTRE
"[8309,9295]",M2,41513,1º SEMESTRE
8309,MI,42150,1º SEMESTRE
"[8295,8316,8240]",L1,41549,2º SEMESTRE
8295,L1,40386,2º SEMESTRE
"[9281,9263,8240]",M2,41787,1º SEMESTRE
8309,MI,47576,1º SEMESTRE
"[9294,8309,9163,8321,9295,9263]",M2,42196,1º SEMESTRE
"[8309,9295,8321]",MI,42084,1º SEMESTRE
9294,M2,40782,2º SEMESTRE
8327,L1,42258,1º SEMESTRE
8309,MI,47884,1º SEMESTRE
"[8309,8321]",L1,41991,1º SEMESTRE
8240,MI,46873,1º SEMESTRE
8309,MI,47475,1º SEMESTRE
8295,L1,40380,1º SEMESTRE
8321,L1,47610,1º SEMESTRE
9163,M2,47800,1º SEMESTRE
9163,M2,46526,1º SEMESTRE
8309,MI,47789,1º SEMESTRE
8327,L1,46402,2º SEMESTRE
9295,M2,40777,1º SEMESTRE
"[8316,8240]",MI,41954,1º SEMESTRE
"[8240,8309,8316,8321,8327]",MI,42296,2º SEMESTRE
"[8309,9281,9163]",MI,81485,1º SEMESTRE
"[8316,8327,8321,8240]",MI,42288,1º SEMESTRE
"[8309,9295]",M2,42088,1º SEMESTRE
8295,L1,40551,1º SEMESTRE
8295,L1,81547,2º SEMESTRE
8327,L1,42254,1º SEMESTRE
"[8316,8240]",L1,41950,1º SEMESTRE
9163,M2,41883,1º SEMESTRE
9263,M2,42138,1º SEMESTRE
8295,L1,81156,1º SEMESTRE
8327,L1,41757,2º SEMESTRE
9163,M2,42062,1º SEMESTRE
9281,M2,45656,1º SEMESTRE
"[8240,8309,8316,8321,8327]",MI,42354,2º SEMESTRE
8327,L1,40909,2º SEMESTRE
9294,M2,41020,1º SEMESTRE
8327,L1,47169,1º SEMESTRE
"[9283,9263]",M2,40756,2º SEMESTRE
9263,M2,47573,1º SEMESTRE
8240,MI,41521,1º SEMESTRE
9163,M2,42212,1º SEMESTRE
"[8309,8321]",MI,41486,1º SEMESTRE
9281,M2,41783,2º SEMESTRE
8309,MI,40715,1º SEMESTRE
"[9283,9263]",M2,40755,2º SEMESTRE
9294,M2,42607,2º SEMESTRE
9263,M2,47634,1º SEMESTRE
"[8309,8321]",MI,41485,1º SEMESTRE
"[8309,8321]",MI,41793,2º SEMESTRE
"[8309,8321]",MI,40769,2º SEMESTRE
9283,M2,40430,2º SEMESTRE
9263,M2,45660,1º SEMESTRE
9263,M2,40757,2º SEMESTRE
8309,MI,47739,1º SEMESTRE
8295,L1,41769,2º SEMESTRE
