Codigo,Sigla,Nome,Regente
40148,MCE,Música Criatividade e Educação,Aoife Hiney
40332,ISD,Introdução aos Sistemas Digitais,Iouliia Skliarova
40333,LSD,Laboratório de Sistemas Digitais,Adão Paulo Soares da Silva
40633,FA,Finanças Aplicadas,Joaquim Carlos da Costa Pinho
40655,TPE,Teorias e Práticas de Educação,José Alexandre da Rocha Ventura Silva
40692,LCI,Língua e Cultura Inglesa,Maria Sofia Pimentel Biscaia
40715,MC-I,Matemática Complementar I,Andreia Oliveira Hall
40379,FP,Fundamentos de Programação,João Manuel de Oliveira e Silva Rodrigues
40380,ITW,Introdução Às Tecnologias Web,Joaquim Manuel Henriques de Sousa Pinto
40381,SO,Sistemas Operativos,Ivan Miguel Serrano Pires
40382,CD,Computação Distribuída,Diogo Nuno Pereira Gomes
40383,PDS,Padrões e Desenho de Software,José Luis Guimarães Oliveira
40384,IES,Introdução à Engenharia de Software,João Rafael Duarte de Almeida
40385,CBD,Complementos de Bases de Dados,Carlos Manuel Azevedo Costa
40386,APSEI,Aspetos Profissionais e Sociais da Engenharia Informática,Rui Luís Andrade Aguiar
40387,PI,Projeto em Informática,Osvaldo Manuel da Rocha Pacheco
40430,AA,Aprendizagem Automática,Petia Georgieva Georgieva
40431,MAS,Modelação e Análise de Sistemas,Ilídio Fernando de Castro Oliveira
40432,SM,Sistemas Multimédia,José Manuel Neto Vieira
40433,RS,Redes e Serviços,António Manuel Duarte Nogueira
40436,POO,Programação Orientada a Objetos,Vítor António Gonçalves Ribeiro da Cunha
40437,AED,Algoritmos e Estruturas de Dados,Joaquim João Estrela Ribeiro Silvestre Madeira
40529,ES,Envelhecimento e Sociedade,Daniela Maria Pias de Figueiredo
40534,TAA,Tópicos de Aprendizagem Automática,Susana Manuela Martinho dos Santos Baía Brás
40551,TPW,Tecnologias e Programação Web,Helder Troca Zagalo
40751,AA,Algoritmos Avançados,Joaquim João Estrela Ribeiro Silvestre Madeira
40752,TAI,Teoria Algoritmica da Informação,António José Ribeiro Neves
40753,CLE,Computação em Larga Escala,Eurico Farinha Pedrosa
40754,SIO,Sistemas de Informação Nas Organizações,Osvaldo Manuel da Rocha Pacheco
40755,SO,Simulação e Otimização,Amaro Fernandes de Sousa
40756,GIC,Gestão de Infraestruturas de Computação,João Paulo Silva Barraca
40757,AS,Arquiteturas de Software,Cláudio Jorge Vieira Teixeira
40769,IFES,Introdução à Física do Estado Sólido,Teresa Maria Fernandes Rodrigues Cabral Monteiro
40776,MCC,Modelação e Computação Científica,José Richard Baptista Gomes
40777,OC,Ótica Computacional,Ana Maria Sousa da Rocha
40779,CP,Computação Paralela,José Nuno Panelas Nunes Lau
40780,MSC,Modelação de Sistemas Complexos,José Daniel Lago da Silva Neves Gouveia
40781,LCVC,Laboratório de Computação e Visualização Científica,João Cunha de Sequeira Amaral
40782,MSAM,Modelação de Sistemas Atmosféricos e Marinhos,David João da Silva Carvalho
40803,CD,Controlo Digital,Alexandre Manuel Moutela Nunes da Mota
40814,sd,Sistemas Distribuídos,
40845,PCP,Planeamento e Controlo da Produção,N/A
40846,IA,Inteligência Artificial,Luís Filipe de Seabra Lopes
40847,EPS,Engenharia de Processos em Serviços,Marlene Paula Castro Amorim
40909,dt,Desenho Técnico,
40914,io,Investigação Operacional,Carlos Manuel dos Santos Ferreira
41006,MDRS,Modelação e Desempenho de Redes e Serviços,Amaro Fernandes de Sousa
41007,ASE,Arquiteturas para Sistemas Embutidos,Arnaldo Silva Rodrigues de Oliveira
41008,RSA,Redes e Sistemas Autónomos,Susana Isabel Barreto de Miranda Sargento
41009,EGS,Engenharia e Gestão de Serviços,Diogo Nuno Pereira Gomes
41010,FAA,Fundamentos de Aprendizagem Automática,Petia Georgieva Georgieva
41019,AIA,Aplicações de Inteligência Artificial,Petia Georgieva Georgieva
41020,SEC,Seminário de Engenharia Computacional,Carlos António Delgado Sousa Brites
41165,ECS,Estatística Computacional e Simulação,Isabel Maria Simões Pereira
41226,rmi,Robótica Móvel e Inteligente,
41231,im,Interação Multimodal,António Joaquim da Silva Teixeira
41302,ge,Gestão de Empresas,Jorge Humberto Fernandes Mota
41400,MSI,Música Som e Imagem,N/A
41405,ED,Eletrónica Digital,Ernesto Fernando Ventura Martins
41406,ep,Electrónica de Potência,N/A
41407,ie,Instrumentação Electrónica,N/A
41429,MTF,Materiais e Tecnologias de Fabrico,N/A
41469,C,Compiladores,Miguel Augusto Mendes Oliveira e Silva
41474,TM,Técnicas Matemáticas para "big Data",Eugénio Alexandre Miguel Rocha
41479,RT,Redes de Telecomunicações,Amaro Fernandes de Sousa
41482,CE,Campo Eletromagnético,José Fernando Ferreira Mendes
41484,MPE,Métodos Probabilísticos em Eletrotecnia,Pedro Miguel Ribeiro Lavrador
41485,SC,Sistemas e Controlo,Telmo Reis Cunha
41486,DE,Dispositivos Eletrónicos,Pedro Miguel da Silva Cabral
41487,SSD,Sinais e Sistemas Discretos,N/A
41489,SIE,Sistemas de Instrumentação Electrónica,Luís Manuel Cadillon Martins Costa
41491,SC,Sistemas de Comunicação,Paulo Miguel Nepomuceno Pereira Monteiro
41492,ES,Engenharia de Software,Nuno José Ferreira de Sá Couto
41495,EA,Eletrónica Analógica,Pedro Filipe Vieira Rito
41499,ERF,Eletrónica de Rádio Frequência,Pedro Miguel da Silva Cabral
41502,M,Microelétronica,Pedro Filipe Vieira Rito
41505,SETR,Sistemas Embutidos e de Tempo Real,N/A
41513,SIAE,Sistemas Integrados para Aplicações Embutidas,Arnaldo Silva Rodrigues de Oliveira
41519,PO,Programação Por Objectos,Daniel Nunes Corujo
41521,LE,Laboratórios de Estatística,N/A
41534,ro,Redes Ópticas,N/A
41549,ihc,Interação Humano-computador,N/A
41559,mn,Métodos Numéricos,António Jorge Monteiro Neves
41567,PROE,Propagação e Radiação de Ondas Electromagnéticas,N/A
41594,co,Comunicações Ópticas,N/A
41686,PEA,Projecto em Engenharia de Automação,N/A
41687,MDLE,Mineração de Dados em Larga Escala,Alina Liliana Trifan
41722,SAVI,Sistemas Avançados de Visão Industrial,N/A
41726,VA,Veículos Autónomos,Vítor Manuel Ferreira dos Santos
41757,mf,Mecânica dos Fluidos,Vítor António Ferreira da Costa
41769,MSF,Modelação de Sistemas Físicos,Gareth John Baxter
41770,RS,Redes e Serviços,António Manuel Duarte Nogueira
41773,fc,Física Computacional,Sofia da Conceição Veladas Latas
41774,PAC,Programação e Algoritmos em Ciências,Osvaldo Manuel da Rocha Pacheco
41779,SR,Software Robusto,Nuno Pedro de Jesus Silva
41780,CA,Criptografia Aplicada,André Ventura da Cruz Marnôto Zúquete
41781,AEV,Análise e Exploração de Vulnerabilidades,João Paulo Silva Barraca
41782,SRC,Segurança em Redes de Comunicações,Paulo Jorge Salvador Serra Ferreira
41783,IAA,Identificação Autenticação e Autorização,João Paulo Silva Barraca
41786,DOS,Direito e Organização da Segurança,Maria Cândida Guedes Machado Antunes de Oliveira
41787,AAS,Aprendizagem Aplicada à Segurança,Mário Luís Pinto Antunes
41789,AFSC,Análise Forense de Sistemas Computacionais,Marco Paulo Gomes Mira
41790,AES,Ambientes de Execução Seguros,Paulo Jorge de Campos Bartolomeu
41793,fq,Física Quântica,António Ferreira da Cunha
41794,ER,Engenharia Reversa,João Paulo Silva Barraca
